,area,perimeter,orientation,eccentricity,convex_area,centroid_0,centroid_1,major_axis_length,minor_axis_length,label
0,15508,601.0437226013958,-1.5139809047583785,0.8957620912397505,18116,171.3476270312097,471.1025277276245,224.79171107281772,99.92750760395971,image_mod42.BMP
1,5355,270.00714267493646,0.8183301278732644,0.385333743664487,5416,306.35798319327733,308.6558356676004,85.98844897317905,79.34818693884236,image_mod42.BMP
2,3928,245.37972567696687,0.11362664597686777,0.192523800273763,4054,375.43635437881875,637.0659368635438,71.88468279607937,70.53988601933581,image_mod42.BMP
