,area,perimeter,orientation,eccentricity,convex_area,centroid_0,centroid_1,major_axis_length,minor_axis_length,label
0,73864,1447.4255403194156,-1.34819522880571,0.8641797116134438,97052,384.8925592981696,564.252179681577,481.0136093270472,242.0380117667088,image_let27.BMP
1,6834,339.8772003600252,1.018051734861341,0.6727950711453202,7150,442.15935030728707,149.60242903131402,108.77428247802202,80.47435708998613,image_let27.BMP
2,1971,207.88225099390857,-0.20629140098567533,0.8841562725621351,2304,457.4764079147641,277.12024353120245,77.58799532639529,36.24843431615981,image_let27.BMP
