,area,perimeter,orientation,eccentricity,convex_area,centroid_0,centroid_1,major_axis_length,minor_axis_length,label
0,28749,686.7249634685276,-0.6027215420546317,0.8346982496156575,29102,129.36004730599325,664.2690180528018,258.76556270850904,142.50415528043035,image_super19.BMP
1,54863,949.6904755831215,0.5631498295345764,0.7477580811656844,55671,319.75960118841476,396.4970016222226,327.58814645546397,217.5091187900291,image_super19.BMP
2,17026,512.9188309203678,-0.65310635793016,0.5628141405731197,17326,484.659285798191,72.30565018207447,163.7458071076225,135.34957845655788,image_super19.BMP
