,area,perimeter,orientation,eccentricity,convex_area,centroid_0,centroid_1,major_axis_length,minor_axis_length,label
0,173256,2028.7819253992695,1.3014736741138677,0.8457532556246656,196445,156.09949438980468,481.3181015376091,702.526472545389,374.85000299948734,image_cyl03.BMP
1,20103,681.38181771802,0.8763002381977102,0.7957754109100774,22798,307.6559220016913,312.7338705665821,219.92994226599873,133.1877818065174,image_cyl03.BMP
2,11519,472.71782079359116,-0.2767946626731033,0.789623531963208,12500,448.8853199062419,55.03420435801719,160.57465025205852,98.52725999312548,image_cyl03.BMP
