,area,perimeter,orientation,eccentricity,convex_area,centroid_0,centroid_1,major_axis_length,minor_axis_length,label
0,4399,278.50966799187813,-0.17277686654457527,0.8410351553102021,4658,91.17344851102523,733.8340531939077,102.89351215774519,55.66338043494777,image_let76.BMP
1,1302,137.49747468305833,-0.179141860681233,0.6857833812640034,1338,68.33410138248848,125.62442396313364,48.13874472729586,35.03565336656002,image_let76.BMP
2,2559,199.29646455628168,-0.9156717602470703,0.33328499184892396,2659,144.79210629152013,588.2149277061352,59.242500581387574,55.85537764256244,image_let76.BMP
3,2895,213.33809511662426,-1.5478596411122238,0.5773905925506027,3032,205.80310880829015,535.8998272884284,67.48636474869684,55.10046174230121,image_let76.BMP
4,12457,445.7300141024109,-0.8865136029285795,0.8298108828294404,12592,250.72296700650236,380.3887773942362,169.1323171507192,94.38339493341067,image_let76.BMP
5,1752,164.0832611206852,-0.007010393687502647,0.3439420559468111,1808,216.63470319634703,694.4646118721461,49.29398871380348,46.286605563584004,image_let76.BMP
6,1927,162.22539674441617,0.48043000842949757,0.31516383208354903,1958,230.6299948105864,136.83912817851584,50.973816654707335,48.37605231233388,image_let76.BMP
7,1884,169.98275605729688,0.4938071589607981,0.6479741413944696,1956,379.6932059447983,707.2882165605096,56.754001565786254,43.22738533554744,image_let76.BMP
